date,confirmed,days,new_cases
2020-01-22,444.0,0,0.0
2020-01-23,444.0,1,0.0
2020-01-24,549.0,2,105.0
2020-01-25,761.0,3,212.0
2020-01-26,1058.0,4,297.0
2020-01-27,1423.0,5,365.0
2020-01-28,3554.0,6,2131.0
2020-01-29,3554.0,7,0.0
2020-01-30,4903.0,8,1349.0
2020-01-31,5806.0,9,903.0
2020-02-01,7153.0,10,1347.0
2020-02-02,11177.0,11,4024.0
2020-02-03,13522.0,12,2345.0
2020-02-04,16678.0,13,3156.0
2020-02-05,19665.0,14,2987.0
2020-02-06,22112.0,15,2447.0
2020-02-07,24953.0,16,2841.0
2020-02-08,27100.0,17,2147.0
2020-02-09,29631.0,18,2531.0
2020-02-10,31728.0,19,2097.0
2020-02-11,33366.0,20,1638.0
2020-02-12,33366.0,21,0.0
2020-02-13,48206.0,22,14840.0
2020-02-14,54406.0,23,6200.0
2020-02-15,56249.0,24,1843.0
2020-02-16,58182.0,25,1933.0
2020-02-17,59989.0,26,1807.0
2020-02-18,61682.0,27,1693.0
2020-02-19,62031.0,28,349.0
2020-02-20,62442.0,29,411.0
2020-02-21,62662.0,30,220.0
2020-02-22,64084.0,31,1422.0
2020-02-23,64084.0,32,0.0
2020-02-24,64287.0,33,203.0
2020-02-25,64786.0,34,499.0
2020-02-26,65187.0,35,401.0
2020-02-27,65596.0,36,409.0
2020-02-28,65914.0,37,318.0
2020-02-29,66337.0,38,423.0
2020-03-01,66907.0,39,570.0
2020-03-02,67103.0,40,196.0
2020-03-03,67217.0,41,114.0
2020-03-04,67332.0,42,115.0
2020-03-05,67466.0,43,134.0
2020-03-06,67592.0,44,126.0
2020-03-07,67666.0,45,74.0
2020-03-08,67707.0,46,41.0
2020-03-09,67743.0,47,36.0
2020-03-10,67760.0,48,17.0
2020-03-11,67773.0,49,13.0
2020-03-12,67781.0,50,8.0
2020-03-13,67786.0,51,5.0
2020-03-14,67790.0,52,4.0
2020-03-15,67794.0,53,4.0
2020-03-16,67798.0,54,4.0
2020-03-17,67799.0,55,1.0
2020-03-18,67800.0,56,1.0
2020-03-19,67800.0,57,0.0
2020-03-20,67800.0,58,0.0
2020-03-21,67800.0,59,0.0
2020-03-22,67800.0,60,0.0
2020-03-23,67800.0,61,0.0
2020-03-24,67801.0,62,1.0
2020-03-25,67801.0,63,0.0
2020-03-26,67801.0,64,0.0
2020-03-27,67801.0,65,0.0
2020-03-28,67801.0,66,0.0
2020-03-29,67801.0,67,0.0
2020-03-30,67801.0,68,0.0
2020-03-31,67801.0,69,0.0
2020-04-01,67802.0,70,1.0
2020-04-02,67802.0,71,0.0
2020-04-03,67802.0,72,0.0
2020-04-04,67803.0,73,1.0
2020-04-05,67803.0,74,0.0
2020-04-06,67803.0,75,0.0
2020-04-07,67803.0,76,0.0
2020-04-08,67803.0,77,0.0
2020-04-09,67803.0,78,0.0
2020-04-10,67803.0,79,0.0
2020-04-11,67803.0,80,0.0
2020-04-12,67803.0,81,0.0
2020-04-13,67803.0,82,0.0
2020-04-14,67803.0,83,0.0
2020-04-15,67803.0,84,0.0
2020-04-16,67803.0,85,0.0
2020-04-17,68128.0,86,325.0
2020-04-18,68128.0,87,0.0
2020-04-19,68128.0,88,0.0
2020-04-20,68128.0,89,0.0
2020-04-21,68128.0,90,0.0
2020-04-22,68128.0,91,0.0
2020-04-23,68128.0,92,0.0
2020-04-24,68128.0,93,0.0
2020-04-25,68128.0,94,0.0
2020-04-26,68128.0,95,0.0
2020-04-27,68128.0,96,0.0
2020-04-28,68128.0,97,0.0
2020-04-29,68128.0,98,0.0
2020-04-30,68128.0,99,0.0
